Compound	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct
C18-neg_Cluster_0808: NA	NA	NA	TRUE	NA	5.636544	389.12416	4	Stilbenes	NA
C18-neg_Cluster_0912: NA	NA	NA	TRUE	NA	11.969801	407.20228	4	NA	NA
C18-neg_Cluster_0937: NA	NA	NA	TRUE	NA	5.636082	411.10576	4	Diazinanes	NA
C18-neg_Cluster_0999: NA	NA	NA	TRUE	NA	13.611992	419.280002	4	NA	NA
C18-neg_Cluster_1039: NA	NA	NA	TRUE	NA	8.369099	427.215565	4	NA	NA
C18-neg_Cluster_1137: NA	NA	NA	TRUE	NA	18.984453	439.379354	4	1-monoacylglycerols	NA
C18-neg_Cluster_1327: NA	NA	NA	TRUE	NA	7.159756	465.285077	4	NA	NA
C18-neg_Cluster_1427: NA	NA	NA	TRUE	NA	7.088153	479.264989	4	Diterpenoids	NA
C18-neg_Cluster_1482: NA	NA	NA	TRUE	NA	7.164297	485.221459	4	NA	NA
C18-neg_Cluster_1591: NA	NA	NA	TRUE	NA	7.088509	501.246806	4	Acyclic diterpenoids	NA
C18-neg_Cluster_1705: NA	NA	NA	TRUE	NA	7.858021	523.23624	4	NA	NA
C18-neg_Cluster_1800: NA	NA	NA	TRUE	NA	8.723604	539.229791	4	Polyprenyl diphosphates	NA
C18-neg_Cluster_1838: NA	NA	NA	TRUE	NA	7.446109	547.328795	4	Triterpenoids	NA
C18-neg_Cluster_2113: NA	NA	NA	TRUE	NA	6.385058	619.312945	4	NA	NA
C18-neg_Cluster_2114: NA	NA	NA	TRUE	NA	6.448779	619.313004	4	NA	NA
C18-neg_Cluster_2129: NA	NA	NA	TRUE	NA	6.692345	623.344432	4	Benzenesulfonic acids and derivatives	NA
C8-pos_Cluster_0186: NA	NA	NA	TRUE	NA	4.291261	304.299949	4	NA	NA
C8-pos_Cluster_0265: NA	NA	NA	TRUE	NA	5.486875	324.290272	4	Organonitrogen compounds	NA
C8-pos_Cluster_0280: NA	NA	NA	TRUE	NA	5.490033	329.245406	4	Long-chain fatty acids	NA
C8-pos_Cluster_0350: NA	NA	NA	TRUE	NA	5.48742	351.227071	4	NA	NA
C8-pos_Cluster_0384: NA	NA	NA	TRUE	NA	8.795192	357.27866	4	Very long-chain fatty acids	NA
C8-pos_Cluster_0577: NA	NA	NA	TRUE	NA	7.335685	411.362837	4	Stigmastanes and derivatives	NA
C8-pos_Cluster_0585: NA	NA	NA	TRUE	NA	7.522139	413.377528	4	Cholesterols and derivatives	NA
C8-pos_Cluster_0604: NA	NA	NA	TRUE	NA	5.489781	419.214722	4	Naphthofurans	NA
C8-pos_Cluster_0652: NA	NA	NA	TRUE	NA	7.404844	430.382485	4	Tannins	NA
C8-pos_Cluster_0848: NA	NA	NA	TRUE	NA	8.542855	486.451829	4	NA	NA
C8-pos_Cluster_0866: NA	NA	NA	TRUE	NA	3.262263	492.368714	4	Triterpenoids	NA
C8-pos_Cluster_1162: NA	NA	NA	TRUE	NA	8.371936	586.517121	4	Sphingolipids	NA
C8-pos_Cluster_1365: NA	NA	NA	TRUE	NA	3.211311	639.313614	4	Trichothecenes	NA
C8-pos_Cluster_1516: NA	NA	NA	TRUE	NA	8.901362	674.571805	4	NA	NA
C8-pos_Cluster_1543: NA	NA	NA	TRUE	NA	8.898937	679.527266	4	1,3-diacylglycerols	NA
C8-pos_Cluster_1737: NA	NA	NA	TRUE	NA	7.921701	722.554167	4	Sphingolipids	NA
C8-pos_Cluster_1812: NA	NA	NA	TRUE	NA	8.285829	756.596347	4	NA	NA
C8-pos_Cluster_1842: NA	NA	NA	TRUE	NA	6.998513	767.581192	4	NA	NA
C8-pos_Cluster_1883: NA	NA	NA	TRUE	NA	6.99699	785.611392	4	NA	NA
C8-pos_Cluster_1947: NA	NA	NA	TRUE	NA	9.314521	806.647204	4	Sphingolipids	NA
C8-pos_Cluster_1953: NA	NA	NA	TRUE	NA	9.456	809.652221	4	Sphingolipids	NA
C8-pos_Cluster_2011: NA	NA	NA	TRUE	NA	9.361562	832.662798	4	Sphingolipids	NA
HILIC-neg_Cluster_0011: NA	NA	NA	TRUE	NA	7.200475	87.045019	4	Carboxylic acid derivatives	NA
HILIC-neg_Cluster_0057: NA	NA	NA	TRUE	NA	7.197926	113.024363	4	Keto acids and derivatives	NA
HILIC-neg_Cluster_0111: NA	NA	NA	TRUE	NA	7.201246	131.034793	4	Keto acids and derivatives	NA
HILIC-neg_Cluster_0275: NA	NA	NA	TRUE	NA	3.912085	172.061456	4	N-acyl-L-alpha-amino acids	NA
HILIC-neg_Cluster_0349: NA	NA	NA	TRUE	NA	7.247195	185.045145	4	Pyrans	NA
HILIC-neg_Cluster_0356: NA	NA	NA	TRUE	NA	3.723912	186.076936	4	Keto acids and derivatives	NA
HILIC-neg_Cluster_0404: NA	NA	NA	TRUE	NA	4.334136	193.086811	4	Toluenes	NA
HILIC-neg_Cluster_0607: NA	NA	NA	TRUE	NA	3.645289	227.128817	4	Lactones	NA
HILIC-neg_Cluster_0695: NA	NA	NA	TRUE	NA	6.949782	241.10803	4	Furoic acid derivatives	NA
HILIC-neg_Cluster_0774: NA	NA	NA	TRUE	NA	6.038267	256.082409	4	NA	NA
HILIC-neg_Cluster_0784: NA	NA	NA	TRUE	NA	6.093541	258.051718	4	NA	NA
HILIC-neg_Cluster_0837: NA	NA	NA	TRUE	NA	7.825199	269.066167	4	NA	NA
HILIC-neg_Cluster_0983: NA	NA	NA	TRUE	NA	1.872439	298.144493	4	Linear 1,3-diarylpropanoids	NA
HILIC-neg_Cluster_0985: NA	NA	NA	TRUE	NA	1.068187	298.274944	4	Carboximidic acids and derivatives	NA
HILIC-neg_Cluster_1022: NA	NA	NA	TRUE	NA	6.117821	307.072226	4	NA	NA
HILIC-neg_Cluster_1180: NA	NA	NA	TRUE	NA	8.611883	343.059799	4	NA	NA
HILIC-neg_Cluster_1232: NA	NA	NA	TRUE	NA	3.7277	355.264332	4	Very long-chain fatty acids	NA
HILIC-neg_Cluster_1242: NA	NA	NA	TRUE	NA	3.714654	357.279822	4	Alkyl-phenylketones	NA
HILIC-neg_Cluster_1245: NA	NA	NA	TRUE	NA	1.079417	358.296084	4	Carboximidic acids and derivatives	NA
HILIC-neg_Cluster_1285: NA	NA	NA	TRUE	NA	6.120837	370.06772	4	NA	NA
HILIC-neg_Cluster_1350: NA	NA	NA	TRUE	NA	12.356034	389.12397	4	Stilbene glycosides	NA
HILIC-neg_Cluster_1535: NA	NA	NA	TRUE	NA	2.934097	453.394998	4	NA	NA
HILIC-pos_Cluster_0140: NA	NA	NA	TRUE	NA	5.818381	144.98165	4	NA	NA
HILIC-pos_Cluster_0154: NA	NA	NA	TRUE	NA	5.819171	146.979681	4	NA	NA
HILIC-pos_Cluster_0286: NA	NA	NA	TRUE	NA	2.167195	174.054448	4	Quinoline carboxylic acids	NA
HILIC-pos_Cluster_0317: NA	NA	NA	TRUE	NA	1.650612	179.14235300000001	4	NA	NA
HILIC-pos_Cluster_0366: NA	NA	NA	TRUE	NA	10.327601	187.143533	4	Ketones	NA
HILIC-pos_Cluster_0393: NA	NA	NA	TRUE	NA	2.160727	192.064834	4	Indoles and derivatives	NA
HILIC-pos_Cluster_0423: NA	NA	NA	TRUE	NA	5.123298	199.107035	4	Diazines	NA
HILIC-pos_Cluster_0492: NA	NA	NA	TRUE	NA	4.263712	211.107045	4	Diazines	NA
HILIC-pos_Cluster_0501: NA	NA	NA	TRUE	NA	5.213227	213.122719	4	Diazines	NA
HILIC-pos_Cluster_0589: NA	NA	NA	TRUE	NA	4.346283	227.101773	4	NA	NA
HILIC-pos_Cluster_0600: NA	NA	NA	TRUE	NA	7.811728	228.122314	4	NA	NA
HILIC-pos_Cluster_0628: NA	NA	NA	TRUE	NA	5.832001	233.91393	4	NA	NA
HILIC-pos_Cluster_0633: NA	NA	NA	TRUE	NA	5.831756	235.911955	4	NA	NA
HILIC-pos_Cluster_0641: NA	NA	NA	TRUE	NA	7.41474	237.158694	4	Benzoic acid esters	NA
HILIC-pos_Cluster_0698: NA	NA	NA	TRUE	NA	1.6342	245.225428	4	NA	NA
HILIC-pos_Cluster_0796: NA	NA	NA	TRUE	NA	1.619974	263.235898	4	Ketones	NA
HILIC-pos_Cluster_0904: NA	NA	NA	TRUE	NA	1.634448	281.246306	4	Long-chain fatty acids	NA
HILIC-pos_Cluster_0994: NA	NA	NA	TRUE	NA	1.883602	300.158268	4	Linear 1,3-diarylpropanoids	NA
HILIC-pos_Cluster_0996: NA	NA	NA	TRUE	NA	1.942246	300.288454	4	Carboximidic acids and derivatives	NA
HILIC-pos_Cluster_0997: NA	NA	NA	TRUE	NA	2.348585	300.288318	4	Carboximidic acids and derivatives	NA
HILIC-pos_Cluster_1009: NA	NA	NA	TRUE	NA	1.681037	301.251401	4	Phenols and derivatives	NA
HILIC-pos_Cluster_1029: NA	NA	NA	TRUE	NA	1.670014	303.26708	4	Phenols	NA
HILIC-pos_Cluster_1044: NA	NA	NA	TRUE	NA	6.024253	306.241387	4	NA	NA
HILIC-pos_Cluster_1127: NA	NA	NA	TRUE	NA	1.872924	319.261739	4	Gluco/mineralocorticoids, progestogins and derivatives	NA
HILIC-pos_Cluster_1129: NA	NA	NA	TRUE	NA	5.993266	320.293248	4	NA	NA
HILIC-pos_Cluster_1138: NA	NA	NA	TRUE	NA	1.835176	321.2775	4	Gluco/mineralocorticoids, progestogins and derivatives	NA
HILIC-pos_Cluster_1198: NA	NA	NA	TRUE	NA	5.911058	334.272548	4	NA	NA
HILIC-pos_Cluster_1265: NA	NA	NA	TRUE	NA	8.012253	346.088437	4	NA	NA
HILIC-pos_Cluster_1386: NA	NA	NA	TRUE	NA	1.627345	375.287885	4	Salicylic acids	NA
HILIC-pos_Cluster_1400: NA	NA	NA	TRUE	NA	8.462156	379.995236	4	NA	NA
HILIC-pos_Cluster_1507: NA	NA	NA	TRUE	NA	1.828971	408.163417	4	Stilbene glycosides	NA
HILIC-pos_Cluster_1519: NA	NA	NA	TRUE	NA	1.692266	411.360633	4	Stigmastanes and derivatives	NA
HILIC-pos_Cluster_1524: NA	NA	NA	TRUE	NA	1.680556	413.376223	4	Cholesterols and derivatives	NA
HILIC-pos_Cluster_1756: NA	NA	NA	TRUE	NA	6.219613	474.355534	4	Spirosolanes and derivatives	NA
HILIC-pos_Cluster_1778: NA	NA	NA	TRUE	NA	2.378487	481.277919	4	Diterpenoids	NA
HILIC-pos_Cluster_1813: NA	NA	NA	TRUE	NA	6.204746	492.366267	4	NA	NA
HILIC-pos_Cluster_1814: NA	NA	NA	TRUE	NA	6.365038	492.366219	4	NA	NA
HILIC-pos_Cluster_1952: NA	NA	NA	TRUE	NA	1.797212	546.522365	4	Long-chain fatty alcohols	NA
HILIC-pos_Cluster_1953: NA	NA	NA	TRUE	NA	3.908106	547.326036	4	Sphingolipids	NA
HILIC-pos_Cluster_1989: NA	NA	NA	TRUE	NA	1.797302	562.517359	4	NA	NA
HILIC-pos_Cluster_1995: NA	NA	NA	TRUE	NA	1.801154	564.532679	4	Sphingolipids	NA
HILIC-pos_Cluster_2128: NA	NA	NA	TRUE	NA	5.974289	607.310289	4	NA	NA
HILIC-pos_Cluster_2211: NA	NA	NA	TRUE	NA	5.549596	650.472536	4	Phosphatidylethanolamines	NA
HILIC-pos_Cluster_2228: NA	NA	NA	TRUE	NA	6.460823	657.260396	4	NA	NA
HILIC-pos_Cluster_2294: NA	NA	NA	TRUE	NA	5.473392	704.519282	4	Phosphatidylethanolamines	NA
HILIC-pos_Cluster_2311: NA	NA	NA	TRUE	NA	5.462945	716.519433	4	Phosphatidylethanolamines	NA
HILIC-pos_Cluster_2313: NA	NA	NA	TRUE	NA	5.456623	718.535402	4	Phosphatidylethanolamines	NA
HILIC-pos_Cluster_2341: NA	NA	NA	TRUE	NA	4.63177	754.595005	4	NA	NA
HILIC-pos_Cluster_2343: NA	NA	NA	TRUE	NA	4.616577	756.610714	4	NA	NA
HILIC-pos_Cluster_2355: NA	NA	NA	TRUE	NA	1.855013	767.57886800000006	4	NA	NA
HILIC-pos_Cluster_2360: NA	NA	NA	TRUE	NA	4.692245	772.60565	4	NA	NA
HILIC-pos_Cluster_2368: NA	NA	NA	TRUE	NA	1.856666	784.604874	4	NA	NA
C18-neg_Cluster_0041: NA	NA	NA	TRUE	NA	1.045431	184.060536	5	NA	NA
C18-neg_Cluster_0074: NA	NA	NA	TRUE	NA	4.477037	209.07836	5	Lactones	NA
C18-neg_Cluster_0108: NA	NA	NA	TRUE	NA	1.496905	229.097736	5	Indoles and derivatives	NA
C18-neg_Cluster_0135: NA	NA	NA	TRUE	NA	5.608163	243.123235	5	Fatty acids and conjugates	NA
C18-neg_Cluster_0151: NA	NA	NA	TRUE	NA	4.992549	245.13923	5	NA	NA
C18-neg_Cluster_0617: NA	NA	NA	TRUE	NA	7.302713	356.096209	5	Acylaminobenzoic acid and derivatives	NA
C18-neg_Cluster_0646: NA	NA	NA	TRUE	NA	13.181869	362.236914	5	NA	NA
C18-neg_Cluster_0680: NA	NA	NA	TRUE	NA	7.579197	367.158275	5	Sulfated steroids	NA
C18-neg_Cluster_0694: NA	NA	NA	TRUE	NA	7.577862	369.152926	5	NA	NA
C18-neg_Cluster_0696: NA	NA	NA	TRUE	NA	6.788801	369.174047	5	Phenylacetamides	NA
C18-neg_Cluster_0771: NA	NA	NA	TRUE	NA	7.30212	382.129561	5	Benzoquinolines	NA
C18-neg_Cluster_0877: NA	NA	NA	TRUE	NA	15.06078	399.251489	5	Long-chain fatty alcohols	NA
C18-neg_Cluster_1098: NA	NA	NA	TRUE	NA	7.577501	435.145854	5	Benzopyrans	NA
C18-neg_Cluster_1159: NA	NA	NA	TRUE	NA	8.348172	443.236955	5	NA	NA
C18-neg_Cluster_1162: NA	NA	NA	TRUE	NA	8.117656	443.256641	5	NA	NA
C18-neg_Cluster_1176: NA	NA	NA	TRUE	NA	7.632204	445.253641	5	NA	NA
C18-neg_Cluster_1177: NA	NA	NA	TRUE	NA	8.117733	445.253298	5	NA	NA
C18-neg_Cluster_1242: NA	NA	NA	TRUE	NA	8.343104	453.2744	5	NA	NA
C18-neg_Cluster_1261: NA	NA	NA	TRUE	NA	14.542421	453.337241	5	Triterpenoids	NA
C18-neg_Cluster_1323: NA	NA	NA	TRUE	NA	13.861301	464.314538	5	NA	NA
C18-neg_Cluster_1334: NA	NA	NA	TRUE	NA	18.857768	465.394019	5	NA	NA
C18-neg_Cluster_1343: NA	NA	NA	TRUE	NA	15.060731	467.238627	5	Dimethoxybenzenes	NA
C18-neg_Cluster_1369: NA	NA	NA	TRUE	NA	6.33055	470.229461	5	NA	NA
C18-neg_Cluster_1370: NA	NA	NA	TRUE	NA	6.453255	470.229519	5	NA	NA
C18-neg_Cluster_1405: NA	NA	NA	TRUE	NA	8.117221	475.267002	5	NA	NA
C18-neg_Cluster_1497: NA	NA	NA	TRUE	NA	7.290918	487.236898	5	NA	NA
C18-neg_Cluster_1502: NA	NA	NA	TRUE	NA	6.24344	487.236696	5	NA	NA
C18-neg_Cluster_1514: NA	NA	NA	TRUE	NA	14.023165	490.330202	5	NA	NA
C18-neg_Cluster_1530: NA	NA	NA	TRUE	NA	6.330279	492.211338	5	NA	NA
C18-neg_Cluster_1535: NA	NA	NA	TRUE	NA	15.11798	492.345697	5	NA	NA
C18-neg_Cluster_1541: NA	NA	NA	TRUE	NA	7.508852	493.223633	5	NA	NA
C18-neg_Cluster_1584: NA	NA	NA	TRUE	NA	14.542817	499.342817	5	Triterpenoids	NA
C18-neg_Cluster_1600: NA	NA	NA	TRUE	NA	6.880331	503.267844	5	NA	NA
C18-neg_Cluster_1602: NA	NA	NA	TRUE	NA	8.116631	503.267846	5	NA	NA
C18-neg_Cluster_1638: NA	NA	NA	TRUE	NA	7.288776	509.218154	5	NA	NA
C18-neg_Cluster_1685: NA	NA	NA	TRUE	NA	18.39464	519.366407	5	Cycloartanols and derivatives	NA
C18-neg_Cluster_1700: NA	NA	NA	TRUE	NA	14.542908	521.323374	5	2-monoacylglycerols	NA
C18-neg_Cluster_1708: NA	NA	NA	TRUE	NA	13.291121	523.339462	5	Triterpenoids	NA
C18-neg_Cluster_1710: NA	NA	NA	TRUE	NA	13.874814	523.339685	5	NA	NA
C18-neg_Cluster_1787: NA	NA	NA	TRUE	NA	7.631481	537.237958	5	NA	NA
C18-neg_Cluster_1788: NA	NA	NA	TRUE	NA	8.117379	537.238349	5	NA	NA
C18-neg_Cluster_1833: NA	NA	NA	TRUE	NA	8.350916	545.181501	5	NA	NA
C18-neg_Cluster_1901: NA	NA	NA	TRUE	NA	8.2815	561.210647	5	NA	NA
C18-neg_Cluster_1943: NA	NA	NA	TRUE	NA	14.779367	577.197363	5	Oligopeptides	NA
C18-neg_Cluster_2014: NA	NA	NA	TRUE	NA	13.875329	591.32677	5	NA	NA
C18-neg_Cluster_0453: NA	NA	NA	TRUE	NA	13.754974	323.222634	NA	Long-chain fatty alcohols	NA
C18-neg_Cluster_0454: NA	NA	NA	TRUE	NA	15.157973	323.219918	NA	NA	NA
C18-neg_Cluster_0455: NA	NA	NA	TRUE	NA	1.369534	324.003653	NA	NA	NA
C18-neg_Cluster_0456: NA	NA	NA	TRUE	NA	1.015179	325.007005	NA	NA	NA
C18-neg_Cluster_0457: NA	NA	NA	TRUE	NA	14.006144	325.132574	NA	NA	NA
C18-neg_Cluster_0458: NA	NA	NA	TRUE	NA	13.108779	325.183892	NA	Benzenesulfonic acids and derivatives	NA
C18-neg_Cluster_0459: NA	NA	NA	TRUE	NA	13.653267	325.183997	NA	Benzenesulfonic acids and derivatives	NA
C18-neg_Cluster_0460: NA	NA	NA	TRUE	NA	13.838937	325.184063	NA	Benzenesulfonic acids and derivatives	NA
C18-neg_Cluster_0461: NA	NA	NA	TRUE	NA	14.484658	325.184247	NA	Benzenesulfonic acids and derivatives	NA
C18-neg_Cluster_0463: NA	NA	NA	TRUE	NA	14.586845	325.238158	NA	Long-chain fatty alcohols	NA
C18-neg_Cluster_0464: NA	NA	NA	TRUE	NA	4.401868	325.973298	NA	NA	NA
C18-neg_Cluster_0465: NA	NA	NA	TRUE	NA	1.334146	327.051827	NA	Coumarins and derivatives	NA
C18-neg_Cluster_0469: NA	NA	NA	TRUE	NA	14.006446	327.126728	NA	Benzodiazepines	NA
C18-neg_Cluster_0473: NA	NA	NA	TRUE	NA	15.272323	327.253619	NA	Long-chain fatty alcohols	NA
C18-neg_Cluster_0475: NA	NA	NA	TRUE	NA	16.068253	327.290049	NA	Fatty acid esters	NA
C18-neg_Cluster_0477: NA	NA	NA	TRUE	NA	14.149876	327.290244	NA	Fatty acid esters	NA
C18-neg_Cluster_0478: NA	NA	NA	TRUE	NA	12.239649	328.249161	NA	Acyl carnitines	NA
C18-neg_Cluster_0479: NA	NA	NA	TRUE	NA	12.411195	328.249089	NA	Acyl carnitines	NA
C18-neg_Cluster_0488: NA	NA	NA	TRUE	NA	8.640066	329.233272	NA	Long-chain fatty acids	NA
C18-neg_Cluster_0492: NA	NA	NA	TRUE	NA	7.921644	329.233153	NA	Long-chain fatty acids	NA
C18-neg_Cluster_0493: NA	NA	NA	TRUE	NA	10.276223	329.233135	NA	Long-chain fatty acids	NA
C18-neg_Cluster_0495: NA	NA	NA	TRUE	NA	16.093818	329.269182	NA	1-monoacylglycerols	NA
C18-neg_Cluster_0496: NA	NA	NA	TRUE	NA	1.019216	330.16729	NA	NA	NA
C18-neg_Cluster_0499: NA	NA	NA	TRUE	NA	2.552014	331.118666	NA	Flavonoids	NA
C18-neg_Cluster_0501: NA	NA	NA	TRUE	NA	5.823636	331.130021	NA	NA	NA
C18-neg_Cluster_0502: NA	NA	NA	TRUE	NA	1.55329	331.176345	NA	Terpene glycosides	NA
C18-neg_Cluster_0503: NA	NA	NA	TRUE	NA	11.838251	331.248778	NA	Long-chain fatty acids	NA
C18-neg_Cluster_0504: NA	NA	NA	TRUE	NA	7.640113	331.248985	NA	Long-chain fatty acids	NA
C18-neg_Cluster_0509: NA	NA	NA	TRUE	NA	5.942334	333.145578	NA	Benzopyrans	NA
C18-neg_Cluster_0511: NA	NA	NA	TRUE	NA	12.124646	333.219955	NA	NA	NA
C18-neg_Cluster_0514: NA	NA	NA	TRUE	NA	12.391507	334.202546	NA	NA	NA
C18-neg_Cluster_0517: NA	NA	NA	TRUE	NA	5.034881	335.161127	NA	NA	NA
C18-neg_Cluster_0518: NA	NA	NA	TRUE	NA	4.114603	335.161286	NA	NA	NA
C18-neg_Cluster_0519: NA	NA	NA	TRUE	NA	8.978014	335.186291	NA	NA	NA
C18-neg_Cluster_0522: NA	NA	NA	TRUE	NA	12.900436	335.235628	NA	NA	NA
C18-neg_Cluster_0523: NA	NA	NA	TRUE	NA	13.316115	335.259121	NA	Tetrahydrofurans	NA
C18-neg_Cluster_0524: NA	NA	NA	TRUE	NA	13.162715	336.254142	NA	NA	NA
C18-neg_Cluster_0525: NA	NA	NA	TRUE	NA	6.052723	337.121144	NA	NA	NA
C18-neg_Cluster_0531: NA	NA	NA	TRUE	NA	14.033292	338.269976	NA	N-acyl-alpha amino acids	NA
C18-neg_Cluster_0532: NA	NA	NA	TRUE	NA	14.142995	338.269961	NA	N-acyl-alpha amino acids	NA
C18-neg_Cluster_0533: NA	NA	NA	TRUE	NA	1.364198	338.96804	NA	NA	NA
C18-neg_Cluster_0534: NA	NA	NA	TRUE	NA	14.480506	339.199286	NA	NA	NA
C18-neg_Cluster_0535: NA	NA	NA	TRUE	NA	15.154938	339.199529	NA	NA	NA
C18-neg_Cluster_0536: NA	NA	NA	TRUE	NA	15.270396	339.199618	NA	NA	NA
C18-neg_Cluster_0537: NA	NA	NA	TRUE	NA	16.098568	339.199248	NA	NA	NA
C18-neg_Cluster_0538: NA	NA	NA	TRUE	NA	11.498751	339.214859	NA	NA	NA
C18-neg_Cluster_0539: NA	NA	NA	TRUE	NA	13.476598	339.214773	NA	NA	NA
C18-neg_Cluster_0542: NA	NA	NA	TRUE	NA	18.017387	339.32641	NA	Fatty acid esters	NA
C18-neg_Cluster_0543: NA	NA	NA	TRUE	NA	14.950995	340.285284	NA	N-acyl-alpha amino acids	NA
C18-neg_Cluster_0544: NA	NA	NA	TRUE	NA	14.612832	341.142341	NA	NA	NA
C18-neg_Cluster_0547: NA	NA	NA	TRUE	NA	11.510309	341.175884	NA	Linear diarylheptanoids	NA
C18-neg_Cluster_0548: NA	NA	NA	TRUE	NA	14.297693	341.21215	NA	Androgens and derivatives	NA
C18-neg_Cluster_0549: NA	NA	NA	TRUE	NA	11.684381	341.232797	NA	NA	NA
C18-neg_Cluster_0550: NA	NA	NA	TRUE	NA	16.51164	341.30581	NA	Fatty acid esters	NA
C18-neg_Cluster_0551: NA	NA	NA	TRUE	NA	12.89284	342.264876	NA	Acyl carnitines	NA
C18-neg_Cluster_0553: NA	NA	NA	TRUE	NA	13.125869	342.264683	NA	Acyl carnitines	NA
C18-neg_Cluster_0554: NA	NA	NA	TRUE	NA	7.849011	343.045765	NA	Flavonoids	NA
C18-neg_Cluster_0558: NA	NA	NA	TRUE	NA	7.123836	343.212495	NA	Dioxanes	NA
C18-neg_Cluster_0560: NA	NA	NA	TRUE	NA	12.126298	343.248315	NA	NA	NA
C18-neg_Cluster_0562: NA	NA	NA	TRUE	NA	1.397457	344.182632	NA	NA	NA
C18-neg_Cluster_0565: NA	NA	NA	TRUE	NA	13.75707	345.204497	NA	NA	NA
C18-neg_Cluster_0568: NA	NA	NA	TRUE	NA	7.454026	345.228036	NA	Fatty acid esters	NA
C18-neg_Cluster_0569: NA	NA	NA	TRUE	NA	15.594689	345.24319	NA	Benzopyrans	NA
C18-neg_Cluster_0572: NA	NA	NA	TRUE	NA	6.052564	347.149439	NA	C19-gibberellin 6-carboxylic acids	NA
C18-neg_Cluster_0574: NA	NA	NA	TRUE	NA	14.486107	347.220074	NA	NA	NA
C18-neg_Cluster_0575: NA	NA	NA	TRUE	NA	14.585893	347.219913	NA	NA	NA
C18-neg_Cluster_0580: NA	NA	NA	TRUE	NA	14.311575	349.170467	NA	NA	NA
C18-neg_Cluster_0582: NA	NA	NA	TRUE	NA	15.272011	349.23578	NA	NA	NA
C18-neg_Cluster_0583: NA	NA	NA	TRUE	NA	15.365863	349.235454	NA	NA	NA
C18-neg_Cluster_0587: NA	NA	NA	TRUE	NA	6.234282	351.135077	NA	Tryptamines and derivatives	NA
C18-neg_Cluster_0589: NA	NA	NA	TRUE	NA	9.458538	351.181115	NA	Phenols	NA
C18-neg_Cluster_0590: NA	NA	NA	TRUE	NA	5.050563	351.217404	NA	Prostaglandins and related compounds	NA
C18-neg_Cluster_0592: NA	NA	NA	TRUE	NA	16.093872	351.251445	NA	NA	NA
C18-neg_Cluster_0593: NA	NA	NA	TRUE	NA	6.433872	352.085997	NA	Phenolic glycosides	NA
C18-neg_Cluster_0594: NA	NA	NA	TRUE	NA	2.552249	353.100501	NA	Alkyl-phenylketones	NA
C18-neg_Cluster_0596: NA	NA	NA	TRUE	NA	1.552292	353.157381	NA	Alpha amino acid esters	NA
C18-neg_Cluster_0597: NA	NA	NA	TRUE	NA	14.21179	353.142129	NA	NA	NA
C18-neg_Cluster_0598: NA	NA	NA	TRUE	NA	15.158509	353.163799	NA	NA	NA
C18-neg_Cluster_0599: NA	NA	NA	TRUE	NA	1.068386	353.196855	NA	NA	NA
C18-neg_Cluster_0600: NA	NA	NA	TRUE	NA	12.661422	353.20019	NA	NA	NA
C18-neg_Cluster_0602: NA	NA	NA	TRUE	NA	12.217888	353.230779	NA	NA	NA
C18-neg_Cluster_0604: NA	NA	NA	TRUE	NA	14.715724	354.301252	NA	Acyclic diterpenoids	NA
C18-neg_Cluster_0606: NA	NA	NA	TRUE	NA	15.158758	355.157807	NA	NA	NA
C18-neg_Cluster_0607: NA	NA	NA	TRUE	NA	16.705531	355.158109	NA	NA	NA
C18-neg_Cluster_0608: NA	NA	NA	TRUE	NA	12.124389	355.201917	NA	NA	NA
C18-neg_Cluster_0611: NA	NA	NA	TRUE	NA	16.114037	355.284988	NA	1-alkyl,3-acylglycerols	NA
C18-neg_Cluster_0612: NA	NA	NA	TRUE	NA	16.280054	355.285318	NA	1-alkyl,3-acylglycerols	NA
C18-neg_Cluster_0613: NA	NA	NA	TRUE	NA	16.979826	355.32155	NA	Very long-chain fatty acids	NA
C18-neg_Cluster_0614: NA	NA	NA	TRUE	NA	14.882955	355.321635	NA	Very long-chain fatty acids	NA
C18-neg_Cluster_0616: NA	NA	NA	TRUE	NA	2.556382	355.983039	NA	NA	NA
C18-neg_Cluster_0618: NA	NA	NA	TRUE	NA	13.613027	356.280468	NA	NA	NA
C18-neg_Cluster_0621: NA	NA	NA	TRUE	NA	1.905866	357.214408	NA	NA	NA
C18-neg_Cluster_0622: NA	NA	NA	TRUE	NA	2.188343	357.214469	NA	NA	NA
C18-neg_Cluster_0624: NA	NA	NA	TRUE	NA	12.902588	357.217371	NA	NA	NA
C18-neg_Cluster_0625: NA	NA	NA	TRUE	NA	12.48215	357.264419	NA	NA	NA
C18-neg_Cluster_0626: NA	NA	NA	TRUE	NA	1.287136	358.198386	NA	NA	NA
C18-neg_Cluster_0627: NA	NA	NA	TRUE	NA	2.542557	358.198363	NA	NA	NA
C18-neg_Cluster_0632: NA	NA	NA	TRUE	NA	14.644081	359.178273	NA	NA	NA
C18-neg_Cluster_0636: NA	NA	NA	TRUE	NA	8.252356	359.270252	NA	NA	NA
C18-neg_Cluster_0637: NA	NA	NA	TRUE	NA	8.336895	359.270213	NA	NA	NA
C18-neg_Cluster_0638: NA	NA	NA	TRUE	NA	13.320507	359.280138	NA	NA	NA
